id,file_name,file_url,is_cover,product_variant,supabase_path,upload_status,uploaded_at,file_size,upload_error,checksum
45,101036-001__D_100__5b2465d93e3545fcb64a7afaea475d2b.png,/images/products/101036-001__D_100__5b2465d93e3545fcb64a7afaea475d2b.png,false,9,,local,,488846,,415b7d88b870a1d5866b23328a1a00aa
46,101036-001__S_0__2ba67f78618747ba8c387503ba1ca9f0.png,/images/products/101036-001__S_0__2ba67f78618747ba8c387503ba1ca9f0.png,true,9,,local,,345371,,ac1b61e026851ed5204d2a6f1e63fe0e
47,101036-410__B_1__91728cd3fb024c1d9b4df3f4a6812b25.png,/images/products/101036-410__B_1__91728cd3fb024c1d9b4df3f4a6812b25.png,false,10,,local,,486984,,60090e57589ed736ce7c25eab8d533df
48,101036-410__B_2__d828b617ccf4448aad24ba1ba9354190.png,/images/products/101036-410__B_2__d828b617ccf4448aad24ba1ba9354190.png,false,10,,local,,482777,,d1e23318faf305854ebae7c17c2182d3
49,101036-410__B_3__5b8abb78c836457688b02e58117d9c10.png,/images/products/101036-410__B_3__5b8abb78c836457688b02e58117d9c10.png,false,10,,local,,483215,,2020e083922c61d7bdb73e90f55961b5
50,101036-410__D_100__a5052a91d9954644bea9aa12c4ef7e03.png,/images/products/101036-410__D_100__a5052a91d9954644bea9aa12c4ef7e03.png,false,10,,local,,496569,,bba020e2ae54392639a94d8a87476424
51,101036-410__S_0__f58fc6e95e3547a0945b0ffe03b0999d.png,/images/products/101036-410__S_0__f58fc6e95e3547a0945b0ffe03b0999d.png,true,10,,local,,327284,,061cc237c75dee5bcea9ac7f04e0d048
52,101037-001__B_1__4dcf1768a54a4e6188ee2dc5ea68a06c.png,/images/products/101037-001__B_1__4dcf1768a54a4e6188ee2dc5ea68a06c.png,false,11,,local,,1047763,,2d6481c06841ed1ddb4e6164ce6150c6
53,101037-001__B_2__09bcdb7b7d14482ca689062d46a37731.png,/images/products/101037-001__B_2__09bcdb7b7d14482ca689062d46a37731.png,false,11,,local,,1076816,,d3706f9cdb763895f2506e022c85ae2c
54,101037-001__B_3__902b0c76d37c4cc1af637f1aaebd6365.png,/images/products/101037-001__B_3__902b0c76d37c4cc1af637f1aaebd6365.png,false,11,,local,,1027627,,2c5cd78c27896c8a0ed73aa15312e305
